index,course_code,course_name,outgoing_edges,outgoing_edge_codes,outgoing_edge_names,edge_direction
56,01:640:336,DYNAM MODELS BIO,5,01:640:152,CALCULUS II FOR MATHEMATICAL AND PHYSICAL SCIENCES,course -> prerequisite
57,01:640:350,LINEAR ALGEBRA,6,01:640:250,INTRO LINEAR ALGEBRA,course -> prerequisite
58,01:640:351,INTRODUCTION TO ABSTRACT ALGEBRA I,9,01:640:300,INTRO MATH REASONING,course -> prerequisite
59,01:640:354,LINEAR OPTIMIZATION,6,01:640:250,INTRO LINEAR ALGEBRA,course -> prerequisite
60,01:640:361,SET THEORY,9,01:640:300,INTRO MATH REASONING,course -> prerequisite
61,01:640:373,NUMERICAL ANALYSIS I,6 8 0,01:640:250 01:640:252 01:198:111,INTRO LINEAR ALGEBRA | ELEMENTARY DIFFERENTIAL EQUATIONS | INTRO COMPUTER SCI,course -> prerequisite
62,01:640:411,MATH ANALYSIS I,53,01:640:311,INTRODUCTION TO REAL ANALYSIS I,course -> prerequisite
63,01:640:421,ADVANCED CALCULUS FOR ENGINEERING,7 8,01:640:251 01:640:252,MULTIVARIABLE CALCULUS | ELEMENTARY DIFFERENTIAL EQUATIONS,course -> prerequisite
64,01:640:423,ELEM PRTL DIFF EQTNS,7 8,01:640:251 01:640:252,MULTIVARIABLE CALCULUS | ELEMENTARY DIFFERENTIAL EQUATIONS,course -> prerequisite
65,01:640:428,GRAPH THEORY,9,01:640:300,INTRO MATH REASONING,course -> prerequisite
66,01:640:435,GEOMETRY,9,01:640:300,INTRO MATH REASONING,course -> prerequisite
67,01:640:441,INTRO TOPOLOGY I,53,01:640:311,INTRODUCTION TO REAL ANALYSIS I,course -> prerequisite
68,01:640:451,ABSTRACT ALGEBRA I,58,01:640:351,INTRODUCTION TO ABSTRACT ALGEBRA I,course -> prerequisite
69,01:640:454,COMBINATORIAL THEORY,9,01:640:300,INTRO MATH REASONING,course -> prerequisite
70,01:640:477,MATHEMATICAL THEORY OF PROBABILITY,7 9,01:640:251 01:640:300,MULTIVARIABLE CALCULUS | INTRO MATH REASONING,course -> prerequisite
71,01:640:478,INTRODUCTION TO STOCHASTIC PROCESSES,70,01:640:477,MATHEMATICAL THEORY OF PROBABILITY,course -> prerequisite
72,01:640:481,MATH THEORY STAT,70,01:640:477,MATHEMATICAL THEORY OF PROBABILITY,course -> prerequisite
73,01:640:485,INTRO MATH FINANCE,70,01:640:477,MATHEMATICAL THEORY OF PROBABILITY,course -> prerequisite
74,01:640:486,MATHEMATICS OF LIFE CONTINGENT RISK MODELS I,51,01:640:285,INTRODUCTION TO INTEREST THEORY FOR ACTUARIAL SCIENCE,course -> prerequisite
75,01:640:491,UNDERGRADUATE MATHEMATICS SEMINAR,9,01:640:300,INTRO MATH REASONING,course -> prerequisite
76,01:640:493,INDIVIDUAL STUDY IN MATHEMATICS,,,,course -> prerequisite
77,01:640:494,INDEP STUDY IN MATH,,,,course -> prerequisite
78,01:640:495,SEL TOPICS IN MATH,,,,course -> prerequisite
79,01:640:496,RESEARCH IN MATH,,,,course -> prerequisite
80,01:640:497,HONORS IN MATH,,,,course -> prerequisite
